"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","pi.wav",289,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"2","tu.wav",290,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"3","bi.wav",291,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"4","di.wav",292,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"5","ba.wav",293,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"6","pu.wav",294,"S",NA,"",0.0420038871816,"3","bi",2,"f006","1C","auditory"
"7","ta.wav",295,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"8","ti.wav",296,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"9","du.wav",297,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"10","pi.wav",298,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"11","tu.wav",299,"S",NA,"",0.383676937316,"3","bi",2,"f006","1C","auditory"
"12","bi.wav",300,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"13","bu.wav",301,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"14","pa.wav",302,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"15","da.wav",303,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"16","di.wav",304,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"17","ba.wav",305,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"18","pu.wav",306,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"19","ta.wav",307,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"20","ti.wav",308,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"21","du.wav",309,"S",NA,"",0.119214012171,"3","bi",2,"f006","1C","auditory"
"22","pi.wav",310,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"23","tu.wav",311,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"24","bi.wav",312,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"25","bu.wav",313,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"26","pa.wav",314,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
